ID,Condition,ConditionType,RT_Mu,RT_Sigma
7,Local Multiple Absent,Control,684.7792207792207,327.6703503674251
7,Local Multiple Incongruent,Control,515,187.507172553575
8,Global All Random,Control,614.6,327.8920996082511
8,Global Congruent at 2,Critical,323.0816326530612,211.46217998601895
8,Global Congruent at 6,Critical,356.421768707483,316.77814987023083
8,Global Incongruent,Critical,372.6862745098039,212.7459403591967
8,Global Multiple Absent,Control,565.012987012987,286.8040085194111
8,Global Multiple Incongruent,Control,482.010989010989,258.08450358169705
8,Local All Random,Control,610.4415584415584,178.69928382521448
8,Local Congruent at 2,Critical,370.1904761904762,191.07222092001217
8,Local Congruent at 6,Critical,367.2857142857143,245.9490146518566
8,Local Incongruent,Critical,344.1,201.37789023688524
8,Local Multiple Absent,Control,628.5974025974026,168.88186931295618
8,Local Multiple Incongruent,Control,430.53246753246754,212.3752007784178
9,Global All Random,Control,546.8428571428572,234.7242993117044
9,Global Congruent at 2,Critical,390.76428571428573,178.236025341966
9,Global Congruent at 6,Critical,468.05194805194805,314.4931972872722
9,Global Incongruent,Critical,394.734693877551,248.20653481541714
9,Global Multiple Absent,Control,563.7142857142857,270.7102187882662
9,Global Multiple Incongruent,Control,441.45714285714286,128.75926146110143
9,Local All Random,Control,557.702380952381,135.3000039859575
9,Local Congruent at 2,Critical,433.687074829932,161.0039479955442
9,Local Congruent at 6,Critical,465.7074829931973,240.47012205501858
9,Local Incongruent,Critical,441.2925170068027,210.90711488236911
9,Local Multiple Absent,Control,570.2597402597403,226.85605235348103
9,Local Multiple Incongruent,Control,462.2,142.05720423604822
10,Global All Random,Control,713.8809523809524,359.9362863552751
10,Global Congruent at 2,Critical,391.578231292517,167.40509170379823
10,Global Congruent at 6,Critical,347.37857142857143,148.1095971735894
10,Global Incongruent,Critical,411.6623376623377,171.051428293648
10,Global Multiple Absent,Control,658.9428571428572,317.30910663127634
10,Global Multiple Incongruent,Control,500.54285714285714,221.81750468126444
10,Local All Random,Control,690.5064935064935,309.21324711939764
10,Local Congruent at 2,Critical,490.48571428571427,215.59349190382508
10,Local Congruent at 6,Critical,476.98639455782313,263.2578554265021
10,Local Incongruent,Critical,580.2176870748299,354.46514825700467
10,Local Multiple Absent,Control,650.012987012987,258.30054371168063
10,Local Multiple Incongruent,Control,656.4545454545455,480.09718164945645
11,Global All Random,Control,599.2571428571429,307.42797840268526
11,Global Congruent at 2,Critical,365.51020408163265,154.56414048963794
11,Global Congruent at 6,Critical,349.24285714285713,142.77289262838323
11,Global Incongruent,Critical,354.92857142857144,165.88878318449898
11,Global Multiple Absent,Control,567.2087912087912,203.62451917867065
11,Global Multiple Incongruent,Control,449.14285714285717,217.18628630835116
11,Local All Random,Control,788.012987012987,399.3953816479978
11,Local Congruent at 2,Critical,428.687074829932,188.43209607653293
11,Local Congruent at 6,Critical,392.9357142857143,141.2449380624421
