ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
34,Local Congruent,2,268,Local,Congruent,Congruent Stimuli with Target
34,Global Incongruent at 2,5,268,Global,Incongruent at 2,Congruent Stimuli with Target
34,Global Congruent,3,268,Global,Congruent,Congruent Stimuli with Target
34,Local Incongruent at 2,3,268,Local,Incongruent at 2,Congruent Stimuli with Target
35,Global Incongruent at 2,3,268,Global,Incongruent at 2,Congruent Stimuli with Target
35,Local Incongruent at 2,7,268,Local,Incongruent at 2,Congruent Stimuli with Target
35,Global Congruent,4,268,Global,Congruent,Congruent Stimuli with Target
37,Global Incongruent at 2,3,268,Global,Incongruent at 2,Congruent Stimuli with Target
1,Global Incongruent at 2,5,269,Global,Incongruent at 2,Congruent Stimuli with Target
1,Local Incongruent at 6,5,269,Local,Incongruent at 6,Congruent Stimuli with Target
1,Local Incongruent at 6,6,269,Local,Incongruent at 6,Incongruent Stimuli with Target
2,Global Incongruent at 6,1,269,Global,Incongruent at 6,Congruent Stimuli with Target
2,Global Incongruent at 6,1,269,Global,Incongruent at 6,Congruent Stimuli with Target
2,Local Incongruent at 6,1,269,Local,Incongruent at 6,Congruent Stimuli with Target
2,Global Congruent,4,269,Global,Congruent,Congruent Stimuli with Target
2,Global Incongruent at 2,7,269,Global,Incongruent at 2,Congruent Stimuli with Target
2,Local Incongruent at 2,6,269,Local,Incongruent at 2,Congruent Stimuli with Target
3,Local Incongruent at 6,4,269,Local,Incongruent at 6,Congruent Stimuli with Target
3,Global Incongruent at 6,2,269,Global,Incongruent at 6,Congruent Stimuli with Target
3,Global Incongruent at 2,7,269,Global,Incongruent at 2,Congruent Stimuli with Target
3,Global Congruent,2,269,Global,Congruent,Congruent Stimuli with Target
3,Global Congruent,7,269,Global,Congruent,Congruent Stimuli with Target
3,Local Congruent,7,269,Local,Congruent,Congruent Stimuli with Target
5,Local Congruent,7,269,Local,Congruent,Congruent Stimuli with Target
5,Global Incongruent at 2,1,269,Global,Incongruent at 2,Congruent Stimuli with Target
6,Local Congruent,6,269,Local,Congruent,Congruent Stimuli with Target
6,Global Incongruent at 6,4,269,Global,Incongruent at 6,Congruent Stimuli with Target
7,Global Congruent,7,269,Global,Congruent,Congruent Stimuli with Target
7,Global Congruent,7,269,Global,Congruent,Congruent Stimuli with Target
8,Global Incongruent at 2,4,269,Global,Incongruent at 2,Congruent Stimuli with Target
8,Global Incongruent at 2,1,269,Global,Incongruent at 2,Congruent Stimuli with Target
9,Global Congruent,3,269,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,4,269,Local,Incongruent at 6,Congruent Stimuli with Target
10,Local Incongruent at 2,7,269,Local,Incongruent at 2,Congruent Stimuli with Target
10,Global Incongruent at 6,6,269,Global,Incongruent at 6,Incongruent Stimuli with Target
10,Local Incongruent at 2,4,269,Local,Incongruent at 2,Congruent Stimuli with Target
11,Local Incongruent at 6,5,269,Local,Incongruent at 6,Congruent Stimuli with Target
12,Global Congruent,2,269,Global,Congruent,Congruent Stimuli with Target
12,Global Incongruent at 2,6,269,Global,Incongruent at 2,Congruent Stimuli with Target
12,Local Incongruent at 6,1,269,Local,Incongruent at 6,Congruent Stimuli with Target
13,Global Congruent,3,269,Global,Congruent,Congruent Stimuli with Target
