ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
8,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,456.35,115.71256357207308,20,25.87411579979213
9,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,167.1,109.15749124424234,20,24.408357067546394
9,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,152.35,108.15839992198576,20,24.18495345631681
9,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,227.7,145.61416212211748,20,32.56031649917297
9,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,187,84.83668521279421,20,18.970059512155906
9,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,240.7,103.2779081691214,20,23.09364232401363
9,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,159.3,88.7812806253305,20,19.852097860772403
9,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,278.5,192.5153445695611,20,43.047739716933364
9,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,159.21052631578948,161.77267278752217,19,37.113196447751655
10,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,307.5,93.55240580326594,20,20.918953883474845
10,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,233.15,97.5798053956485,20,21.81950780958708
10,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,312.8,149.89701728011028,20,33.51799202627872
10,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,316.25,163.4206309851328,20,36.541963980866534
10,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,333.6,148.52835986507938,20,33.2119509244869
10,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,280.45,131.95712022830512,20,29.50650909456028
10,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,400.3,121.94265261308608,20,27.267206059950283
10,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,372.7894736842105,168.82422777267763,19,38.73093410959971
11,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,390.25,115.13601795953753,20,25.745196281616252
11,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,369.1,67.8728687753028,20,15.176834840949997
11,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,385.7,77.45497843399433,20,17.319459697419152
11,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,389.5,148.09189892197273,20,33.11435529065588
11,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,372.7,5.974507246803309,20,1.3359404335917313
11,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,341.05,43.807563634365096,20,9.79566902150881
11,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,511.95,168.0953598407761,20,37.587265130626356
