Globality,RunType,RunPosition,Condition,StimuliType,Critdatpoint,N,RT_Mu,sd,se,ci
Global,Incongruent at 6,1,Global Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,367.1719005847953,45.43416392174881,8.295105487109737,16.965395626854473
Global,Incongruent at 6,2,Global Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,297.1638596491228,24.940768954078468,4.553540585891102,9.313036182918799
Global,Incongruent at 6,3,Global Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,277.10166666666663,32.37370502078516,5.910602836634094,12.08854012435769
Global,Incongruent at 6,4,Global Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,277.0328167641325,30.994138874614293,5.6587296706913435,11.573401659313767
Global,Incongruent at 6,5,Global Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,275.4397368421052,31.133124208026523,5.684104804782095,11.625299635729265
Global,Incongruent at 6,6,Global Incongruent at 6,Incongruent Stimuli with Target,Critical,30,271.72974658869396,31.779296255998258,5.802079140349905,11.86658424384346
Global,Incongruent at 6,7,Global Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,284.1351754385965,29.114907805910825,5.315630588326867,10.87168524587341
Local,Congruent,1,Local Congruent,Congruent Stimuli with Target,Non-critical,30,436.83588693957114,69.94123387029016,12.769463830167426,26.116485939599826
Local,Congruent,2,Local Congruent,Congruent Stimuli with Target,Critical,30,338.9235087719298,36.188626299301475,6.607108983084039,13.51305514100474
Local,Congruent,3,Local Congruent,Congruent Stimuli with Target,Non-critical,30,309.32394736842105,23.53182231123457,4.296303299688843,8.786926860116164
Local,Congruent,4,Local Congruent,Congruent Stimuli with Target,Non-critical,30,305.89973684210526,29.393949036839874,5.36657631387815,10.97588095391085
Local,Congruent,5,Local Congruent,Congruent Stimuli with Target,Non-critical,30,296.6270175438596,27.76983444571194,5.070054914700133,10.369426598785308
Local,Congruent,6,Local Congruent,Congruent Stimuli with Target,Critical,30,295.38108187134503,26.746303423823917,4.883184571702006,9.987233834050032
Local,Congruent,7,Local Congruent,Congruent Stimuli with Target,Non-critical,30,298.2035087719298,29.976128076334454,5.472867178024107,11.193270179950064
Local,Incongruent at 2,1,Local Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,429.3914132553606,62.82006523215933,11.469322263866559,23.45739786923245
Local,Incongruent at 2,2,Local Incongruent at 2,Incongruent Stimuli with Target,Critical,30,372.8393372319688,49.789240666604655,9.090230078050974,18.59160800943613
Local,Incongruent at 2,3,Local Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,327.163947368421,23.23527415033759,4.2421612606521935,8.676193956992904
Local,Incongruent at 2,4,Local Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,313.39877192982453,25.76169502195035,4.703420494363584,9.619575014486857
Local,Incongruent at 2,5,Local Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,302.0463157894737,22.06088369581767,4.027747879565759,8.237669354325032
Local,Incongruent at 2,6,Local Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,295.0467543859649,27.488944067949266,5.018771582671212,10.264540407972424
Local,Incongruent at 2,7,Local Incongruent at 2,Congruent Stimuli with Target,Non-critical,30,291.4362962962963,28.546547262932588,5.211862624931846,10.659455931234172
Local,Incongruent at 6,1,Local Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,431.59992604059164,56.330968941196396,10.284580791738723,21.034329492172663
Local,Incongruent at 6,2,Local Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,339.5069980506822,44.44612907833156,8.114715829996165,16.596457352991642
Local,Incongruent at 6,3,Local Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,312.95794346978556,38.14379019366925,6.964071439272331,14.24312533752953
Local,Incongruent at 6,4,Local Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,298.5212573099415,30.579654646894408,5.583055550273914,11.41863070509372
Local,Incongruent at 6,5,Local Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,293.0070175438596,28.185767703219987,5.145993590551387,10.5247386296206
Local,Incongruent at 6,6,Local Incongruent at 6,Incongruent Stimuli with Target,Critical,30,319.872134502924,41.37615726901897,7.5542182263743465,15.45011103971995
Local,Incongruent at 6,7,Local Incongruent at 6,Congruent Stimuli with Target,Non-critical,30,312.39631578947365,24.280782029297235,4.433044010437387,9.06659301502538
