ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
4,Global Congruent,5,Global,Congruent Stimuli with Target,Congruent,Non-critical,207,124.7428465996258,19,28.61797169775606
4,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,213.5,126.71746442173503,20,28.33488643834106
4,Global Congruent,7,Global,Congruent Stimuli with Target,Congruent,Non-critical,219.35,142.5191676859458,20,31.86825470424662
4,Global Incongruent at 2,1,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,270.8,133.31940278104585,20,29.8111247338093
4,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,224.1578947368421,151.32645474745237,19,34.71666966991714
4,Global Incongruent at 2,3,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,219.05,100.03550685421126,20,22.368619348966252
4,Global Incongruent at 2,4,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,177.15,103.16939315616102,20,23.06937762945776
4,Global Incongruent at 2,5,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,162.95,144.0337953763849,20,32.20693575188915
4,Global Incongruent at 2,6,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,172,107.9434008069867,19,24.763914512619042
4,Global Incongruent at 2,7,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,191,106.85701218278368,20,23.893954311322748
4,Global Incongruent at 6,1,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,304,224.75998894727448,20,50.25786139082071
4,Global Incongruent at 6,2,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,209.42105263157896,133.9516147260618,19,30.73060799552621
4,Global Incongruent at 6,3,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,188.1,126.3220195832023,20,28.24646228431
4,Global Incongruent at 6,4,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,167.5,112.11108213215188,20,25.068800067855364
4,Global Incongruent at 6,5,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,163.45,112.00445244909264,20,25.044956945881392
4,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,165.5,99.07493177016656,20,22.153828230424597
4,Global Incongruent at 6,7,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,136.9,84.1489281290211,20,18.816272353023535
4,Local Congruent,1,Local,Congruent Stimuli with Target,Congruent,Non-critical,310.7,172.46604547592915,20,38.564580149474764
4,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,228.05263157894737,129.19256672984562,19,29.638807506949053
4,Local Congruent,3,Local,Congruent Stimuli with Target,Congruent,Non-critical,224.8,176.92597322044043,20,39.56185031062122
4,Local Congruent,4,Local,Congruent Stimuli with Target,Congruent,Non-critical,209.95,132.30287222883712,20,29.58382159221489
4,Local Congruent,5,Local,Congruent Stimuli with Target,Congruent,Non-critical,215.55,149.02895338614044,20,33.32388703870575
4,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,215.15,123.26705070485659,20,27.563350476197268
4,Local Congruent,7,Local,Congruent Stimuli with Target,Congruent,Non-critical,193.21052631578948,121.54998009386391,19,27.88547788518596
4,Local Incongruent at 2,1,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,317.36842105263156,155.28654893680184,19,35.62517758456329
4,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,180.52631578947367,143.31448264454124,19,32.87859721017731
4,Local Incongruent at 2,3,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,189.05,125.93167529301459,20,28.159178647561138
4,Local Incongruent at 2,4,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,173.7,113.39920170516379,20,25.356832360695627
4,Local Incongruent at 2,5,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,192.1578947368421,115.92586862967151,19,26.59521822625842
4,Local Incongruent at 2,6,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,197.85,108.93516903475928,20,24.35864431021519
4,Local Incongruent at 2,7,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,169.38888888888889,107.5437743372103,18,25.34831070274574
4,Local Incongruent at 6,1,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,308.5263157894737,147.3870069733469,19,33.81289836777598
4,Local Incongruent at 6,2,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,250.35,158.54644844899389,20,35.45206363231164
4,Local Incongruent at 6,3,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,221.38888888888889,134.2964845095879,18,31.653984962081253
4,Local Incongruent at 6,4,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,221,148.206115364984,20,33.139894863728024
4,Local Incongruent at 6,5,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,209.1,128.1014811533583,20,28.644361987731727
4,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,240.65,231.23837666379097,20,51.70647292269376
4,Local Incongruent at 6,7,Local,Congruent Stimuli with Target,Incongruent at 6,Non-critical,215.35,148.524063263907,20,33.210990175257535
5,Global Congruent,1,Global,Congruent Stimuli with Target,Congruent,Non-critical,352.55,66.9032884094646,20,14.96003008018366
5,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,279.89473684210526,91.98181869674156,19,21.10207643906192
5,Global Congruent,3,Global,Congruent Stimuli with Target,Congruent,Non-critical,308.95,106.50350871413136,20,23.814908532703893
5,Global Congruent,4,Global,Congruent Stimuli with Target,Congruent,Non-critical,295.6,87.7990528662498,20,19.63246505690323
5,Global Congruent,5,Global,Congruent Stimuli with Target,Congruent,Non-critical,292.05,85.85451280172204,20,19.19765267997764
5,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,271.1,94.37266553404116,20,21.10236953519675
5,Global Congruent,7,Global,Congruent Stimuli with Target,Congruent,Non-critical,290.4,98.24105691185277,20,21.967368143632832
5,Global Incongruent at 2,1,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,361.42105263157896,97.56041762784382,19,22.38189480681028
5,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,351.85,131.2331292415384,20,29.344619788409524
