ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
32,Local Incongruent at 2,2,21,Local,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,2,21,Global,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 6,6,21,Global,Incongruent at 6,Incongruent Stimuli with Target
34,Local Incongruent at 6,6,21,Local,Incongruent at 6,Incongruent Stimuli with Target
35,Local Congruent,6,21,Local,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 2,2,21,Local,Incongruent at 2,Incongruent Stimuli with Target
3,Global Incongruent at 6,6,22,Global,Incongruent at 6,Incongruent Stimuli with Target
21,Global Congruent,6,22,Global,Congruent,Congruent Stimuli with Target
21,Global Incongruent at 2,2,22,Global,Incongruent at 2,Incongruent Stimuli with Target
21,Global Incongruent at 6,6,22,Global,Incongruent at 6,Incongruent Stimuli with Target
22,Global Incongruent at 6,6,22,Global,Incongruent at 6,Incongruent Stimuli with Target
23,Global Incongruent at 6,6,22,Global,Incongruent at 6,Incongruent Stimuli with Target
24,Local Congruent,6,22,Local,Congruent,Congruent Stimuli with Target
28,Local Congruent,6,22,Local,Congruent,Congruent Stimuli with Target
34,Global Congruent,2,22,Global,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 6,6,22,Local,Incongruent at 6,Incongruent Stimuli with Target
3,Global Incongruent at 6,6,23,Global,Incongruent at 6,Incongruent Stimuli with Target
9,Local Incongruent at 2,2,23,Local,Incongruent at 2,Incongruent Stimuli with Target
9,Global Congruent,6,23,Global,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 2,2,23,Global,Incongruent at 2,Incongruent Stimuli with Target
37,Global Congruent,2,23,Global,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 2,2,24,Global,Incongruent at 2,Incongruent Stimuli with Target
22,Local Incongruent at 6,6,24,Local,Incongruent at 6,Incongruent Stimuli with Target
22,Local Incongruent at 6,6,24,Local,Incongruent at 6,Incongruent Stimuli with Target
22,Global Incongruent at 6,6,25,Global,Incongruent at 6,Incongruent Stimuli with Target
19,Global Incongruent at 6,6,26,Global,Incongruent at 6,Incongruent Stimuli with Target
19,Local Congruent,6,26,Local,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 6,6,27,Global,Incongruent at 6,Incongruent Stimuli with Target
15,Local Incongruent at 6,6,27,Local,Incongruent at 6,Incongruent Stimuli with Target
2,Global Congruent,2,28,Global,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 2,2,28,Global,Incongruent at 2,Incongruent Stimuli with Target
4,Local Incongruent at 6,6,30,Local,Incongruent at 6,Incongruent Stimuli with Target
37,Global Incongruent at 2,2,30,Global,Incongruent at 2,Incongruent Stimuli with Target
1,Global Incongruent at 6,6,31,Global,Incongruent at 6,Incongruent Stimuli with Target
3,Local Congruent,6,31,Local,Congruent,Congruent Stimuli with Target
4,Global Incongruent at 2,2,31,Global,Incongruent at 2,Incongruent Stimuli with Target
20,Local Congruent,6,32,Local,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 2,2,32,Global,Incongruent at 2,Incongruent Stimuli with Target
23,Global Congruent,6,33,Global,Congruent,Congruent Stimuli with Target
3,Local Congruent,6,34,Local,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 2,2,34,Global,Incongruent at 2,Incongruent Stimuli with Target
34,Global Incongruent at 6,6,34,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Local Incongruent at 6,6,35,Local,Incongruent at 6,Incongruent Stimuli with Target
21,Global Incongruent at 6,6,35,Global,Incongruent at 6,Incongruent Stimuli with Target
9,Global Congruent,2,36,Global,Congruent,Congruent Stimuli with Target
28,Global Incongruent at 6,6,36,Global,Incongruent at 6,Incongruent Stimuli with Target
22,Global Congruent,6,37,Global,Congruent,Congruent Stimuli with Target
27,Global Incongruent at 2,2,37,Global,Incongruent at 2,Incongruent Stimuli with Target
28,Global Incongruent at 2,2,37,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Local Incongruent at 2,2,37,Local,Incongruent at 2,Incongruent Stimuli with Target
9,Global Incongruent at 6,6,38,Global,Incongruent at 6,Incongruent Stimuli with Target
10,Local Congruent,6,38,Local,Congruent,Congruent Stimuli with Target
21,Global Congruent,2,38,Global,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 2,2,38,Local,Incongruent at 2,Incongruent Stimuli with Target
3,Global Congruent,2,39,Global,Congruent,Congruent Stimuli with Target
3,Global Congruent,6,39,Global,Congruent,Congruent Stimuli with Target
4,Global Incongruent at 6,6,39,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Global Incongruent at 2,2,39,Global,Incongruent at 2,Incongruent Stimuli with Target
28,Local Incongruent at 2,2,40,Local,Incongruent at 2,Incongruent Stimuli with Target
35,Global Incongruent at 6,6,41,Global,Incongruent at 6,Incongruent Stimuli with Target
37,Global Incongruent at 2,2,41,Global,Incongruent at 2,Incongruent Stimuli with Target
37,Global Congruent,2,41,Global,Congruent,Congruent Stimuli with Target
4,Global Incongruent at 2,2,42,Global,Incongruent at 2,Incongruent Stimuli with Target
2,Local Congruent,2,43,Local,Congruent,Congruent Stimuli with Target
9,Global Congruent,6,43,Global,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 6,6,43,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Global Congruent,2,45,Global,Congruent,Congruent Stimuli with Target
12,Global Incongruent at 6,6,45,Global,Incongruent at 6,Incongruent Stimuli with Target
23,Global Incongruent at 6,6,45,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Local Incongruent at 6,6,46,Local,Incongruent at 6,Incongruent Stimuli with Target
37,Local Congruent,6,46,Local,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 2,2,47,Global,Incongruent at 2,Incongruent Stimuli with Target
4,Local Incongruent at 2,2,47,Local,Incongruent at 2,Incongruent Stimuli with Target
22,Local Congruent,6,47,Local,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 6,6,47,Global,Incongruent at 6,Incongruent Stimuli with Target
37,Global Incongruent at 2,2,47,Global,Incongruent at 2,Incongruent Stimuli with Target
4,Local Congruent,2,48,Local,Congruent,Congruent Stimuli with Target
6,Global Incongruent at 6,6,48,Global,Incongruent at 6,Incongruent Stimuli with Target
23,Global Incongruent at 6,6,48,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Global Incongruent at 6,6,48,Global,Incongruent at 6,Incongruent Stimuli with Target
22,Local Incongruent at 6,6,49,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Global Congruent,6,50,Global,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 2,2,50,Local,Incongruent at 2,Incongruent Stimuli with Target
28,Global Congruent,6,50,Global,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 2,2,53,Global,Incongruent at 2,Incongruent Stimuli with Target
34,Global Congruent,2,53,Global,Congruent,Congruent Stimuli with Target
22,Local Incongruent at 6,6,54,Local,Incongruent at 6,Incongruent Stimuli with Target
27,Global Congruent,2,54,Global,Congruent,Congruent Stimuli with Target
30,Local Incongruent at 6,6,54,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Local Incongruent at 2,2,55,Local,Incongruent at 2,Incongruent Stimuli with Target
19,Global Congruent,2,55,Global,Congruent,Congruent Stimuli with Target
21,Global Congruent,6,55,Global,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 2,2,55,Local,Incongruent at 2,Incongruent Stimuli with Target
4,Global Incongruent at 6,6,56,Global,Incongruent at 6,Incongruent Stimuli with Target
10,Local Congruent,2,56,Local,Congruent,Congruent Stimuli with Target
23,Global Congruent,6,56,Global,Congruent,Congruent Stimuli with Target
28,Local Incongruent at 2,2,56,Local,Incongruent at 2,Incongruent Stimuli with Target
3,Local Incongruent at 6,6,57,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Global Congruent,2,57,Global,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 6,6,58,Local,Incongruent at 6,Incongruent Stimuli with Target
2,Global Congruent,6,59,Global,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 6,6,59,Global,Incongruent at 6,Incongruent Stimuli with Target
21,Global Congruent,6,60,Global,Congruent,Congruent Stimuli with Target
37,Local Congruent,6,60,Local,Congruent,Congruent Stimuli with Target
4,Local Incongruent at 6,6,61,Local,Incongruent at 6,Incongruent Stimuli with Target
28,Global Incongruent at 6,6,61,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Global Congruent,6,61,Global,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 6,6,61,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Local Incongruent at 2,2,62,Local,Incongruent at 2,Incongruent Stimuli with Target
9,Local Congruent,6,62,Local,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 6,6,62,Local,Incongruent at 6,Incongruent Stimuli with Target
28,Global Congruent,6,62,Global,Congruent,Congruent Stimuli with Target
34,Global Incongruent at 2,2,62,Global,Incongruent at 2,Incongruent Stimuli with Target
4,Local Congruent,6,63,Local,Congruent,Congruent Stimuli with Target
10,Global Congruent,6,63,Global,Congruent,Congruent Stimuli with Target
17,Local Congruent,6,63,Local,Congruent,Congruent Stimuli with Target
32,Local Incongruent at 6,6,63,Local,Incongruent at 6,Incongruent Stimuli with Target
37,Global Incongruent at 2,2,64,Global,Incongruent at 2,Incongruent Stimuli with Target
