ID,Condition,RunPosition#,RT_Mu,RT_Sigma,RT_n
1,Local Incongruent,1,489.1,339.3749517786144,20
1,Local Incongruent,2,350.15,104.64439784336284,20
1,Local Incongruent,3,296.2,77.94302912688013,20
1,Local Incongruent,4,334.3157894736842,119.67319045893228,19
1,Local Incongruent,5,321.7,105.69972364650424,20
1,Local Incongruent,6,316.1,92.92662640350635,20
1,Local Incongruent,7,311.85,111.17614047324325,20
2,Global Congruent at 2,1,335.35,122.8161977145223,20
2,Global Congruent at 2,2,175.94444444444446,112.67416438679027,18
2,Global Congruent at 2,3,208.14285714285714,100.50247386381717,14
2,Global Congruent at 2,4,230.88888888888889,176.970881250158,18
2,Global Congruent at 2,5,210.35294117647058,97.81164371923633,17
2,Global Congruent at 2,6,172.72222222222223,100.75993925899878,18
2,Global Congruent at 2,7,223.75,137.50854518901724,16
2,Global Congruent at 6,1,329.8421052631579,117.24346139451053,19
2,Global Congruent at 6,2,204.94444444444446,92.90379098338758,18
2,Global Congruent at 6,3,165.41176470588235,78.96522875887321,17
2,Global Congruent at 6,4,162.31578947368422,111.36080131794778,19
2,Global Congruent at 6,5,186.4375,93.34021552007117,16
2,Global Congruent at 6,6,183.76470588235293,111.77462223810281,17
2,Global Congruent at 6,7,212.8,163.64386418596416,15
2,Global Incongruent,1,328.85,124.47332202016962,20
2,Global Incongruent,2,220.3684210526316,156.44069182434453,19
2,Global Incongruent,3,263.05555555555554,284.15788325221433,18
2,Global Incongruent,4,213.1764705882353,155.45064944143755,17
2,Global Incongruent,5,200.94117647058823,126.69622655600052,17
2,Global Incongruent,6,206.11764705882354,117.1275385813159,17
2,Global Incongruent,7,262.8421052631579,307.7698027129827,19
2,Local Congruent at 2,1,438.5,124.49497981846497,20
2,Local Congruent at 2,2,249.1578947368421,143.90477683288222,19
2,Local Congruent at 2,3,271.3529411764706,209.26506551992577,17
2,Local Congruent at 2,4,311.8888888888889,174.82155234237766,18
2,Local Congruent at 2,5,259.6111111111111,146.362217436094,18
2,Local Congruent at 2,6,239.58823529411765,135.6005433357152,17
2,Local Congruent at 2,7,258.6666666666667,195.9135463592521,18
2,Local Congruent at 6,1,499.36842105263156,276.6757449366628,19
2,Local Congruent at 6,2,298.35,166.42029070367212,20
2,Local Congruent at 6,3,222.47368421052633,116.73444146678136,19
2,Local Congruent at 6,4,201.94736842105263,128.63750692210456,19
2,Local Congruent at 6,5,211.68421052631578,92.89603067203616,19
2,Local Congruent at 6,6,205.88888888888889,119.5102205271897,18
2,Local Congruent at 6,7,223.05555555555554,135.26204294419742,18
2,Local Incongruent,1,522.9411764705883,277.331811777029,17
2,Local Incongruent,2,313.63157894736844,184.36443695581607,19
2,Local Incongruent,3,268,163.75366608993747,20
2,Local Incongruent,4,214.5,144.61765004964766,18
2,Local Incongruent,5,237.35294117647058,151.2129876930511,17
2,Local Incongruent,6,285.44444444444446,111.43091883854595,18
2,Local Incongruent,7,262.6842105263158,110.95947840519626,19
3,Global Congruent at 2,1,256.94444444444446,230.5192277860677,18
3,Global Congruent at 2,2,215.06666666666666,107.95466420590415,15
3,Global Congruent at 2,3,224,121.44894463866763,14
3,Global Congruent at 2,4,211.16666666666666,78.99232797422721,12
3,Global Congruent at 2,5,299.07142857142856,481.59198566768185,14
3,Global Congruent at 2,6,222.58333333333334,123.43379405637468,12
3,Global Congruent at 2,7,222.72727272727272,134.16265569009204,11
3,Global Congruent at 6,1,253.08333333333334,154.7240701338608,12
3,Global Congruent at 6,2,221.64285714285714,110.94115359252201,14
3,Global Congruent at 6,3,214.2,86.67195954533722,15
3,Global Congruent at 6,4,242.1875,106.78652770832096,16
3,Global Congruent at 6,5,192.5,105.74454638849745,12
3,Global Congruent at 6,6,192.30769230769232,119.64836300272047,13
3,Global Congruent at 6,7,232.21428571428572,136.15724991089056,14
3,Global Incongruent,1,281.5,209.0291410741139,12
3,Global Incongruent,2,164.3846153846154,72.33664177710867,13
3,Global Incongruent,3,244.69230769230768,145.0789351901145,13
3,Global Incongruent,4,275,209.41551313801264,15
3,Global Incongruent,5,161.72727272727272,89.80544628149332,11
3,Global Incongruent,6,270.26666666666665,139.8562867817566,15
3,Global Incongruent,7,279.8,162.26028472796418,10
3,Local Congruent at 2,1,312,193.16087854428494,17
3,Local Congruent at 2,2,215.88235294117646,100.78435044250494,17
3,Local Congruent at 2,3,200.75,114.80348822701734,12
3,Local Congruent at 2,4,214.6,121.19570949501471,15
3,Local Congruent at 2,5,183,78.95296972610612,15
3,Local Congruent at 2,6,148.66666666666666,88.9371099362326,15
3,Local Congruent at 2,7,236.75,174.79530886153668,16
3,Local Congruent at 6,1,254.0625,84.84139614598524,16
3,Local Congruent at 6,2,286.93333333333334,155.02970529485478,15
3,Local Congruent at 6,3,255.93333333333334,120.56620390395281,15
3,Local Congruent at 6,4,238.23529411764707,116.29624317436307,17
3,Local Congruent at 6,5,222,140.22244233122362,13
3,Local Congruent at 6,6,313,156.62960554548215,13
3,Local Congruent at 6,7,260.5882352941176,151.13903318779427,17
3,Local Incongruent,1,234.125,112.08025398496085,16
3,Local Incongruent,2,230.125,91.96077062168048,16
3,Local Incongruent,3,219.21428571428572,99.73208616583237,14
3,Local Incongruent,4,216.1875,87.86293776862536,16
3,Local Incongruent,5,218.91666666666666,92.45486204170939,12
3,Local Incongruent,6,242.84615384615384,122.71569184762406,13
3,Local Incongruent,7,211.26666666666668,99.60311718204883,15
4,Global Congruent at 2,1,767,291.4287851982115,20
4,Global Congruent at 2,2,398.85,88.34398975774067,20
